,날짜,평균  기온,최고  기온,최저  기온,강수량(mm),신적설(cm),평균  풍속(m/s),평균  습도  (%),운량(1/10),일조  시간  (Hr),날씨
0,2017년 01월01일 (일),2.7,6.9,-1.6,-,-,1.6,76,7.0,1.7,구름많음/안개
1,2017년 01월02일 (월),5.0,9.2,1.8,0.3,-,2.2,78,7.6,2.7,구름많음/비/안개
2,2017년 01월03일 (화),2.0,7.7,-2.3,-,-,1.9,62,1.1,8.9,맑음/안개
3,2017년 01월04일 (수),3.9,8.9,1.0,-,-,1.7,55,2.6,8.6,구름조금/안개
4,2017년 01월05일 (목),3.8,7.3,-0.1,-,-,3.2,52,8.4,0.0,흐림
5,2017년 01월06일 (금),5.4,11.4,2.5,-,-,2.2,59,4.1,6.0,구름조금
6,2017년 01월07일 (토),4.5,10.5,0.0,-,-,1.5,65,3.0,7.0,구름조금/안개
7,2017년 01월08일 (일),6.5,10.9,4.0,0.0,-,2.6,61,8.1,2.9,흐림/비/안개
8,2017년 01월09일 (월),1.5,4.3,-3.1,0.0,-,3.2,61,4.2,6.2,구름조금/비/안개
9,2017년 01월10일 (화),-3.7,1.1,-7.4,-,-,3.1,45,0.8,9.1,맑음
10,2017년 01월11일 (수),-3.8,1.5,-9.4,-,-,2.1,36,1.9,9.2,맑음
11,2017년 01월12일 (목),-2.2,1.0,-6.1,0.0,0.1,3.2,43,2.1,8.6,구름조금/눈
12,2017년 01월13일 (금),-6.0,-1.4,-8.6,0.6,1.5,2.8,47,1.8,5.6,맑음/눈
13,2017년 01월14일 (토),-8.4,-5.4,-10.5,-,-,3.8,33,0.0,9.2,맑음
14,2017년 01월15일 (일),-6.6,-0.9,-11.5,-,-,2.3,35,0.0,9.2,맑음
15,2017년 01월16일 (월),-3.8,4.0,-8.9,-,-,1.3,38,0.1,9.2,맑음
16,2017년 01월17일 (화),-2.0,3.4,-7.1,-,-,1.5,47,4.4,8.6,구름조금/안개
17,2017년 01월18일 (수),-0.5,2.8,-3.0,0.0,-,1.3,69,4.0,1.9,구름조금/눈/안개
18,2017년 01월19일 (목),-1.2,4.7,-4.9,-,-,1.5,55,6.2,8.1,구름많음/안개
19,2017년 01월20일 (금),-4.4,-1.4,-7.8,4.0,6.6,3.0,70,4.8,6.0,구름조금/눈/안개
20,2017년 01월21일 (토),-5.2,-0.9,-10.0,2.1,3.2,1.6,78,5.2,3.3,구름많음/눈/안개
21,2017년 01월22일 (일),-8.3,-3.3,-10.9,0.0,0.0,3.5,51,0.0,9.1,맑음/눈/안개
22,2017년 01월23일 (월),-8.9,-4.1,-12.6,-,-,2.2,48,0.0,9.4,맑음/안개
23,2017년 01월24일 (화),-7.0,-1.3,-11.6,-,-,1.9,50,0.0,9.4,맑음
24,2017년 01월25일 (수),-5.2,0.9,-10.2,-,-,1.5,51,0.0,9.5,맑음/안개
25,2017년 01월26일 (목),-1.3,3.4,-7.9,0.3,-,2.4,64,6.9,5.7,구름많음/비/안개
26,2017년 01월27일 (금),-2.6,3.1,-5.7,3.0,-,3.4,47,1.6,9.2,맑음/비/안개/황사
27,2017년 01월28일 (토),-1.6,4.3,-8.2,-,-,1.8,38,6.6,7.8,구름많음
28,2017년 01월29일 (일),0.8,2.5,-0.9,4.5,2.1,1.9,71,9.6,0.0,흐림/눈/진눈개비
29,2017년 01월30일 (월),-4.8,-0.9,-7.9,0.1,0.1,3.3,61,2.9,8.7,구름조금/눈/안개
30,2017년 01월31일 (화),-5.4,0.2,-9.9,-,-,1.7,45,3.1,8.2,구름조금
31,2017년 02월01일 (수),-4.0,0.7,-7.5,-,-,2.6,45,1.4,9.5,맑음
32,2017년 02월02일 (목),-2.7,3.3,-9.2,-,-,2.7,53,1.2,9.6,맑음
33,2017년 02월03일 (금),1.5,6.7,-2.3,-,-,1.5,65,2.2,9.2,구름조금/안개
34,2017년 02월04일 (토),0.9,3.2,-2.9,-,-,1.7,69,7.0,1.0,구름많음/안개
35,2017년 02월05일 (일),1.2,2.3,-1.5,0.5,-,2.2,75,7.2,0.0,구름많음/눈/비/안개/진눈개비
36,2017년 02월06일 (월),-1.7,2.6,-4.4,-,-,3.0,51,0.0,9.8,맑음/안개
37,2017년 02월07일 (화),-2.0,3.0,-5.6,-,-,1.5,45,5.2,4.1,구름많음
38,2017년 02월08일 (수),-2.2,0.6,-4.9,-,-,2.2,50,6.8,1.2,구름많음
39,2017년 02월09일 (목),-5.3,-2.1,-7.1,-,-,3.7,47,1.5,8.8,맑음
40,2017년 02월10일 (금),-6.7,-2.5,-9.3,-,-,4.1,44,0.9,9.6,맑음
41,2017년 02월11일 (토),-4.8,0.8,-9.2,-,-,2.8,45,0.2,9.7,맑음
42,2017년 02월12일 (일),-2.2,4.2,-7.4,-,-,2.0,51,0.0,9.8,맑음
43,2017년 02월13일 (월),0.1,6.1,-5.4,-,-,1.6,60,4.2,6.4,구름조금/안개
44,2017년 02월14일 (화),0.3,6.5,-4.0,-,-,2.5,46,0.0,9.8,맑음
45,2017년 02월15일 (수),1.8,8.0,-3.9,-,-,1.4,52,0.0,8.9,맑음/안개
46,2017년 02월16일 (목),5.5,10.3,-1.9,0.0,-,1.9,64,5.8,2.1,구름많음/비/안개
47,2017년 02월17일 (금),0.8,9.0,-5.2,4.0,-,3.9,57,3.1,9.5,구름조금/비
48,2017년 02월18일 (토),-2.6,2.9,-7.0,-,-,2.7,49,0.6,10.0,맑음
49,2017년 02월19일 (일),2.2,5.7,-3.4,1.0,-,1.9,68,7.0,1.2,구름많음/눈/비
50,2017년 02월20일 (월),-1.6,5.4,-5.2,0.5,-,4.2,54,2.5,9.9,구름조금/비/안개
51,2017년 02월21일 (화),-0.6,6.9,-7.6,-,-,1.7,37,4.5,9.9,구름조금
52,2017년 02월22일 (수),1.7,2.9,-0.9,5.1,-,2.6,71,9.9,0.0,흐림/눈/비/안개/진눈개비
53,2017년 02월23일 (목),-1.5,2.1,-4.2,-,-,3.7,56,1.1,10.2,맑음
54,2017년 02월24일 (금),-0.8,4.4,-5.8,-,-,2.3,51,2.1,9.0,구름조금
55,2017년 02월25일 (토),2.6,8.4,-2.8,-,-,2.3,64,1.8,10.1,맑음/안개
56,2017년 02월26일 (일),3.6,10.1,-1.5,-,-,2.1,53,0.1,10.3,맑음/안개
57,2017년 02월27일 (월),3.7,10.7,-1.8,-,-,1.9,37,0.0,10.6,맑음
58,2017년 02월28일 (화),5.6,12.3,-1.3,-,-,2.0,42,2.1,9.8,구름조금
59,2017년 03월01일 (수),5.0,11.4,2.0,5.0,-,1.9,65,9.8,1.2,흐림/비/안개
60,2017년 03월02일 (목),1.8,6.6,-1.1,0.5,-,3.2,60,4.1,9.7,구름조금/비/안개
61,2017년 03월03일 (금),3.3,10.4,-3.1,-,-,2.1,54,1.2,10.5,맑음
62,2017년 03월04일 (토),5.7,12.7,0.1,-,-,1.7,60,0.1,10.7,맑음/안개
63,2017년 03월05일 (일),5.2,10.4,1.2,0.5,-,2.2,72,6.1,6.2,구름많음/비/안개
64,2017년 03월06일 (월),0.1,4.0,-2.8,-,-,3.9,41,0.5,10.9,맑음
65,2017년 03월07일 (화),-1.3,2.9,-4.0,0.0,-,3.7,38,1.0,10.9,맑음/눈
66,2017년 03월08일 (수),-0.1,5.0,-5.3,0.0,-,3.1,51,2.8,8.1,구름조금/눈
67,2017년 03월09일 (목),3.2,10.7,-2.7,-,-,3.2,47,0.8,10.5,맑음
68,2017년 03월10일 (금),4.8,12.2,-1.2,-,-,2.1,37,0.1,10.9,맑음
69,2017년 03월11일 (토),7.3,16.7,-0.2,-,-,1.9,37,3.0,11.0,구름조금/안개
70,2017년 03월12일 (일),8.2,14.0,4.4,0.0,-,1.9,58,9.0,2.3,흐림/비/안개
71,2017년 03월13일 (월),6.9,12.2,1.5,-,-,2.6,50,3.4,10.3,구름조금/안개
72,2017년 03월14일 (화),5.8,10.9,1.0,-,-,3.0,38,0.5,11.2,맑음
73,2017년 03월15일 (수),6.3,13.3,0.4,-,-,2.1,35,0.1,11.2,맑음
74,2017년 03월16일 (목),6.2,13.4,1.0,-,-,1.8,42,3.0,10.8,구름조금
